wavelength,Back_EunCamf,Belly_EunCamf,Breast_EunCamf,Crissum_EunCamf,Crown_EunCamf,DorTail_EunCamf,Rump_EunCamf,Throat_EunCamf,WingTip_EunCamf
253.54,-0.121466666666,3.85433333333,2.91659999999,0.355866666665,-0.659733333332,9.20133333334,6.2066,6.0286,3.38546666667
253.91,0.614666666666,4.72719999999,3.92206666666,0.961066666666,0.805266666666,9.99133333333,6.98699999999,6.96976666666,4.26846666666
254.28,0.723933333332,5.30666666667,4.44146666667,0.759466666666,1.78366666667,10.128,7.70866666665,7.31126666667,4.66233333333
254.66,-0.063933333334,4.91326666667,3.55253333333,-0.557066666667,1.25113333333,9.56153333335,7.1964,7.50676666667,4.30126666667
255.03,2.1044,7.58846666667,5.90320000001,2.04853333333,4.00366666667,11.5640666667,9.98126666666,9.75796666666,6.79693333334
255.41,3.78493333334,9.3468,7.02206666667,3.46786666667,5.55226666667,12.6416666667,11.2584666667,10.831,9.02006666665
255.78,2.6036,8.72773333333,5.71999999999,2.66273333333,4.98026666667,11.3806666667,10.5720666667,9.65986666667,8.38273333333
256.15,1.24633333333,8.43720000001,5.14346666667,2.17606666667,4.0652,10.6823333333,9.54506666667,8.73886666667,7.34926666668
256.53,-0.0386666666674,7.10033333334,3.78613333333,1.185,2.78426666667,9.7688,8.46826666667,7.73126666667,6.63759999999
256.90,-1.02906666667,5.9654,2.28593333333,0.337066666669,1.71226666667,8.54293333334,6.439,5.69196666667,5.83793333333
257.28,0.0244666666666,6.38073333334,3.0882,1.44606666667,2.6878,9.33006666665,6.3562,5.97613333333,6.18459999999
257.65,2.31226666667,7.85739999999,4.82513333333,3.98066666667,4.38913333334,10.9244,7.37293333334,7.91963333333,7.82273333334
258.02,2.75066666667,7.92086666666,4.48386666667,4.34186666667,4.04026666667,10.6242,7.22286666666,7.68993333333,8.03886666668
258.40,3.109,7.33686666666,4.63593333333,4.7114,3.62806666667,10.7534,6.8028,7.52576666667,7.9718
258.77,2.99306666667,6.92846666666,4.315,4.4066,3.20686666667,9.98700000001,5.90313333333,6.6035,7.40419999999
259.15,1.59026666666,5.22926666667,2.91406666667,2.70273333333,1.82926666667,8.52319999999,4.16366666667,5.03136666667,5.88333333333
